Designator;X;Y;ANGLE;B/T
U2;5606;5770;90;BOT
U1;5610;6105;0;TOP
SW1;5403;5220;90;BOT
R24;5165;6030;90;BOT
R23;5110;6150;360;BOT
R22;5855;6135;270;TOP
R21;5725;5580;90;TOP
R20;5720;6230;360;BOT
R19;5855;6230;180;BOT
R18;5605;5480;90;TOP
R17;5645;5585;270;TOP
R16;5605;5550;90;TOP
R15;5449;5585;180;TOP
R14;5940;5346;360;TOP
R13;5385;5555;90;TOP
R12;5320;5650;360;TOP
R11;5628;5982;180;TOP
R10;5655;5220;270;BOT
R9;5625;5895;180;TOP
R8;5308;5750;360;TOP
R7;5940;5271;180;TOP
R6;5308;5790;360;TOP
R5;5565;5945;90;TOP
R4;5530;5945;270;TOP
R3;5545;6000;0;TOP
R2;5308;5715;360;TOP
R1;5308;5825;360;TOP
Q2;6045;5306;360;TOP
Q1;5835;5306;180;TOP
P2;5891;5665;90;TOP
P1;5910;5139;360;TOP
J2;5136;6115;270;TOP
D2;5906;6125;90;TOP
D1;5510;5455;360;TOP
C23;5075;6020;90;BOT
C22;5745;5520;180;TOP
C21;5314;6245;360;TOP
C20;5314;6195;180;TOP
C19;5445;5535;180;TOP
C18;5920;5215;90;BOT
C17;6025;5215;90;BOT
C16;5820;5210;90;BOT
C15;5534;5575;180;TOP
C14;5766;5839;360;TOP
C13;5767;5889;360;TOP
C12;5575;5220;90;BOT
C11;5627;5938;360;TOP
C10;5766;5939;180;TOP
C9;5390;5705;270;TOP
C8;5455;5855;270;TOP
C7;5405;5855;90;TOP
C6;5730;6125;90;TOP
C5;5445;6125;90;TOP
C4;5395;6125;90;TOP
C3;5345;6125;90;TOP
C2;5295;6125;90;TOP
C1;5495;6125;90;TOP
AD1;5585;5755;0;TOP
1;5139;5687;270;TOP
J1;5333;5220;360;TOP
R25;5710;5780;90;TOP
