"Designator","Footprint","Mid X","Mid Y","Ref X","Ref Y","Pad X","Pad Y","Layer","Rotation","Comment"
""
"U2","PCB-fe3lw6kdt112bojkmdo5-1","5605.669mil","5769.921mil","5960mil","5415mil","5960mil","5415mil","B","90.00","ESP-WROOM-32"
"U1","PCB-a9jm1tuu3zbq3xo1yucz-1","5610mil","6104.998mil","5610mil","6104.998mil","5562.756mil","6142.4mil","T","0.00","Texas Instruments TLV75733PDBVR"
"SW1","PCB-zit99kuel7qxd38wki91-1","5403.386mil","5220mil","5403.386mil","5220mil","5573.386mil","5309mil","B","90.00","TE Connectivity 1571563-9"
"R24","RESC2013X55X40NL15T20","5165mil","6030mil","5165mil","6030mil","5165mil","5995.551mil","B","90.00","33k"
"R23","RESC2013X55X40NL15T20","5110mil","6150mil","5110mil","6150mil","5075.551mil","6150mil","B","360.00","10k"
"R22","PCB-ox87cizgyni6ijgftx4b-1","5855mil","6135mil","5855mil","6135mil","5855mil","6151.732mil","T","270.00","1k"
"R21","PCB-ox87cizgyni6ijgftx4b-1","5725mil","5580mil","5725mil","5580mil","5725mil","5563.268mil","T","90.00","10M"
"R20","RESC2013X55X40NL15T20","5720mil","6230mil","5720mil","6230mil","5685.551mil","6230mil","B","360.00","100"
"R19","RESC2013X55X40NL15T20","5855mil","6230mil","5855mil","6230mil","5889.449mil","6230mil","B","180.00","100"
"R18","PCB-ox87cizgyni6ijgftx4b-1","5605mil","5480mil","5605mil","5480mil","5605mil","5463.268mil","T","90.00","1k"
"R17","PCB-ox87cizgyni6ijgftx4b-1","5645mil","5585mil","5645mil","5585mil","5645mil","5601.732mil","T","270.00","1M"
"R16","PCB-ox87cizgyni6ijgftx4b-1","5605mil","5550mil","5605mil","5550mil","5605mil","5533.268mil","T","90.00","100k"
"R15","PCB-ox87cizgyni6ijgftx4b-1","5449.291mil","5585mil","5449.291mil","5585mil","5466.024mil","5585mil","T","180.00","1M"
"R14","PCB-ox87cizgyni6ijgftx4b-1","5939.673mil","5346.4mil","5939.673mil","5346.4mil","5922.94mil","5346.4mil","T","360.00","10k"
"R13","PCB-ox87cizgyni6ijgftx4b-1","5385mil","5555mil","5385mil","5555mil","5385mil","5538.268mil","T","90.00","1M"
"R12","PCB-ox87cizgyni6ijgftx4b-1","5320mil","5650mil","5320mil","5650mil","5303.268mil","5650mil","T","360.00","360"
"R11","PCB-ox87cizgyni6ijgftx4b-1","5627.574mil","5981.737mil","5627.574mil","5981.737mil","5644.306mil","5981.737mil","T","180.00","10M"
"R10","RESC2013X55X40NL15T20","5655mil","5220mil","5655mil","5220mil","5655mil","5254.449mil","B","270.00","1k"
"R9","PCB-ox87cizgyni6ijgftx4b-1","5625mil","5895mil","5625mil","5895mil","5641.732mil","5895mil","T","180.00","10M"
"R8","PCB-ox87cizgyni6ijgftx4b-1","5308.268mil","5750mil","5308.268mil","5750mil","5291.535mil","5750mil","T","360.00","180k"
"R7","PCB-ox87cizgyni6ijgftx4b-1","5939.673mil","5271.4mil","5939.673mil","5271.4mil","5956.405mil","5271.4mil","T","180.00","10k"
"R6","PCB-ox87cizgyni6ijgftx4b-1","5308.268mil","5790mil","5308.268mil","5790mil","5291.535mil","5790mil","T","360.00","180k"
"R5","PCB-ox87cizgyni6ijgftx4b-1","5565mil","5945mil","5565mil","5945mil","5565mil","5928.268mil","T","90.00","10M"
"R4","PCB-ox87cizgyni6ijgftx4b-1","5530mil","5945mil","5530mil","5945mil","5530mil","5961.732mil","T","270.00","10M"
"R3","PCB-ox87cizgyni6ijgftx4b-1","5545mil","6000mil","5545mil","6000mil","5528.268mil","6000mil","T","0.00","1.4M"
"R2","PCB-ox87cizgyni6ijgftx4b-1","5307.559mil","5715mil","5307.559mil","5715mil","5290.827mil","5715mil","T","360.00","10M"
"R1","PCB-ox87cizgyni6ijgftx4b-1","5307.559mil","5825mil","5307.559mil","5825mil","5290.827mil","5825mil","T","360.00","10M"
"Q2","SOT-23","6044.673mil","5306.4mil","6044.673mil","5306.4mil","6005.302mil","5343.802mil","T","360.00","3904"
"Q1","SOT-23","5834.673mil","5306.4mil","5834.673mil","5306.4mil","5874.043mil","5268.999mil","T","180.00","3904"
"P2","PCB-7mt2i6ys09tytf9ozbyy-1","5890.591mil","5665mil","5865mil","5665mil","5833.504mil","5541.968mil","T","90.00","Molex 53261-0471"
"P1","PCB-7mt2i6ys09tytf9ozbyy-1","5910mil","5139.409mil","5910mil","5165mil","5786.968mil","5196.496mil","T","360.00","Molex 53261-0471"
"J2","PCB-3jiuxcj61nfa3u5b4ed9-1","5135.945mil","6115.394mil","5195mil","6140mil","5195mil","6140mil","T","270.00","Molex 53261-0271"
"D2","PCB-nrpq7kty63qvmvgb1xe1-1","5906.467mil","6125.47mil","5906.467mil","6125.47mil","5906.467mil","6169.761mil","T","90.00","LED"
"D1","PCB-nrpq7kty63qvmvgb1xe1-1","5510mil","5455mil","5510mil","5455mil","5554.291mil","5455mil","T","360.00","LED"
"C23","CAPC2013X140X50ML20T25","5075mil","6020mil","5075mil","6020mil","5075mil","5984.567mil","B","90.00","1uF"
"C22","CAPC1005X56X25ML10T15","5745mil","5520mil","5745mil","5520mil","5764.291mil","5520mil","T","180.00","0.2nF"
"C21","CAPC1005X56X25ML10T15","5314.291mil","6245mil","5314.291mil","6245mil","5295mil","6245mil","T","360.00","1uF"
"C20","CAPC1005X56X25ML10T15","5314.291mil","6195mil","5314.291mil","6195mil","5333.583mil","6195mil","T","180.00","1uF"
"C19","CAPC1005X56X25ML10T15","5445mil","5535mil","5445mil","5535mil","5464.291mil","5535mil","T","180.00","1.5nF"
"C18","CAPC2013X140X50ML20T25","5920mil","5215mil","5920mil","5215mil","5920mil","5179.567mil","B","90.00","22uF"
"C17","CAPC2013X140X50ML20T25","6025mil","5215mil","6025mil","5215mil","6025mil","5179.567mil","B","90.00","1uF"
"C16","CAPC2013X140X50ML20T25","5820mil","5210mil","5820mil","5210mil","5820mil","5174.567mil","B","90.00","0.1uF"
"C15","CAPC1005X56X25ML10T15","5534.291mil","5575mil","5534.291mil","5575mil","5553.583mil","5575mil","T","180.00","10nF"
"C14","CAPC1005X56X25ML10T15","5765.991mil","5838.635mil","5765.991mil","5838.635mil","5746.699mil","5838.635mil","T","360.00","1uF"
"C13","CAPC1005X56X25ML10T15","5766.699mil","5888.635mil","5766.699mil","5888.635mil","5747.408mil","5888.635mil","T","360.00","0.1uF"
"C12","CAPC2013X140X50ML20T25","5575mil","5220mil","5575mil","5220mil","5575mil","5184.567mil","B","90.00","0.1uF"
"C11","CAPC1005X56X25ML10T15","5626.865mil","5938.47mil","5626.865mil","5938.47mil","5607.574mil","5938.47mil","T","360.00","0.1uF"
"C10","CAPC1005X56X25ML10T15","5765.991mil","5938.635mil","5765.991mil","5938.635mil","5785.282mil","5938.635mil","T","180.00","0.1uF"
"C9","CAPC1005X56X25ML10T15","5390mil","5705mil","5390mil","5705mil","5390mil","5724.291mil","T","270.00","1nF"
"C8","CAPC1005X56X25ML10T15","5455mil","5855mil","5455mil","5855mil","5455mil","5874.291mil","T","270.00","0.33uF"
